smnno,first_month,amount,second_month,amount,third_month,amount 
JP0383,OCT,15083,NOV,15083,DEC,15083
JP0385,OCT,5000,NOV,5000,DEC,5000
JP0384,OCT,5000,NOV,5000,DEC,5000
JP0387,OCT,43774,NOV,43774,DEC,43774
JP0389,OCT,5000,NOV,5000,DEC,5000
JP0390,OCT,30739,NOV,30739,DEC,30739
JP0391,OCT,12000,NOV,12000,DEC,12000
JP0392,OCT,44337,NOV,44337,DEC,44337
JP0393,OCT,21500,NOV,21500,DEC,21500
JP0394,OCT,30209,NOV,30209,DEC,30209
JP0395,OCT,10000,NOV,10000,DEC,10000
JP0397,OCT,27120,NOV,27120,DEC,27120
JP0398,OCT,21500,NOV,21500,DEC,21500
JP0400,OCT,5000,NOV,5000,DEC,5000
JP0401,OCT,15000,NOV,15000,DEC,15000
JP0403,OCT,5000,NOV,5000,DEC,5000
JP0405,OCT,16575,NOV,16575,DEC,16575
JP0407,OCT,14750,NOV,14750,DEC,14750
JP0408,OCT,29771,NOV,29771,DEC,29771
JP0410,OCT,13500,NOV,13500,DEC,13500
JP0418,OCT,5000,NOV,5000,DEC,5000
JP0420,OCT,43275,NOV,43275,DEC,43275
JP0429,OCT,5000,NOV,5000,DEC,5000
JP0433,OCT,5000,NOV,5000,DEC,5000
JP0436,OCT,11217,NOV,11217,DEC,11217
JP0438,OCT,5000,NOV,5000,DEC,5000
JP0446,OCT,17754,NOV,17754,DEC,17754
JP0448,OCT,19167,NOV,19167,DEC,19167
JP0449,OCT,11184,NOV,11184,DEC,11184
JP0464,OCT,5000,NOV,5000,DEC,5000
JP0466,OCT,5000,NOV,5000,DEC,5000
JP0468,OCT,31817,NOV,31817,DEC,31817
JP0450,OCT,13584,NOV,13584,DEC,13584
JP0451,OCT,11784,NOV,11784,DEC,11784
JP0452,OCT,14117,NOV,14117,DEC,14117
JP0453,OCT,5000,NOV,5000,DEC,5000
JP0454,OCT,11250,NOV,11250,DEC,11250
JP0456,OCT,5000,NOV,5000,DEC,5000
JP0455,OCT,5000,NOV,5000,DEC,5000
JP0457,OCT,5000,NOV,5000,DEC,5000
JP0476,OCT,13584,NOV,13584,DEC,13584
JP0147,OCT,5000,NOV,5000,DEC,5000
SP0342,OCT,5000,NOV,5000,DEC,5000
SP0002,OCT,100447,NOV,100447,DEC,100447
SP0006,OCT,27958,NOV,27958,DEC,27958
SP0009,OCT,30000,NOV,30000,DEC,30000
SP0017,OCT,5000,NOV,5000,DEC,5000
SP0024,OCT,10000,NOV,10000,DEC,10000
SP0029,OCT,5000,NOV,5000,DEC,5000
SP0033,OCT,10000,NOV,10000,DEC,10000
SP0042,OCT,37500,NOV,37500,DEC,37500
SP0043,OCT,72167,NOV,72167,DEC,72167
SP0044,OCT,160000,NOV,160000,DEC,160000
SP0057,OCT,20000,NOV,20000,DEC,20000
SP0059,OCT,15000,NOV,15000,DEC,15000
SP0068,OCT,65723,NOV,65723,DEC,65723
SP0071,OCT,10000,NOV,10000,DEC,10000
SP0072,OCT,67817,NOV,67817,DEC,67817
SP0073,OCT,23617,NOV,23617,DEC,23617
SP0075,OCT,46667,NOV,46667,DEC,46667
SP0079,OCT,58004,NOV,58004,DEC,58004
SP0081,OCT,30000,NOV,30000,DEC,30000
SP0082,OCT,62340,NOV,62340,DEC,62340
SP0084,OCT,30034,NOV,30034,DEC,30034
SP0085,OCT,0,NOV,0,DEC,0
SP0086,OCT,58704,NOV,58704,DEC,58704
SP0087,OCT,33352,NOV,33352,DEC,33352
SP0093,OCT,72334,NOV,72334,DEC,72334
SP0094,OCT,92700,NOV,92700,DEC,92700
SP0096,OCT,39151,NOV,39151,DEC,39151
SP0098,OCT,69483,NOV,69483,DEC,69483
SP0099,OCT,10000,NOV,10000,DEC,10000
SP0100,OCT,114003,NOV,114003,DEC,114003
SP0101,OCT,65893,NOV,65893,DEC,65893
SP1026,OCT,10000,NOV,10000,DEC,10000
SP1030,OCT,5000,NOV,5000,DEC,5000
SP1038,OCT,5000,NOV,5000,DEC,5000
SP1039,OCT,43259,NOV,43259,DEC,43259
SP1041,OCT,10200,NOV,10200,DEC,10200
SP1045,OCT,5000,NOV,5000,DEC,5000
SP0105,OCT,58517,NOV,58517,DEC,58517
SP1053,OCT,14167,NOV,14167,DEC,14167
SP1055,OCT,125000,NOV,125000,DEC,125000
SP1057,OCT,50000,NOV,50000,DEC,50000
SP0106,OCT,5000,NOV,5000,DEC,5000
SP1065,OCT,10000,NOV,10000,DEC,10000
SP1067,OCT,5000,NOV,5000,DEC,5000
SP0107,OCT,41488,NOV,41488,DEC,41488
SP1070,OCT,20000,NOV,20000,DEC,20000
SP1072,OCT,15484,NOV,15484,DEC,15484
SP1074,OCT,20000,NOV,20000,DEC,20000
SP1079,OCT,5000,NOV,5000,DEC,5000
SP1081,OCT,53250,NOV,53250,DEC,53250
SP0110,OCT,18792,NOV,18792,DEC,18792
SP1105,OCT,22500,NOV,22500,DEC,22500
SP1107,OCT,33250,NOV,33250,DEC,33250
SP1108,OCT,40000,NOV,40000,DEC,40000
SP1111,OCT,60000,NOV,60000,DEC,60000
SP1113,OCT,5000,NOV,5000,DEC,5000
SP1029,OCT,5000,NOV,5000,DEC,5000
SP0114,OCT,123667,NOV,123667,DEC,123667
SP1140,OCT,26267,NOV,26267,DEC,26267
SP1142,OCT,10000,NOV,10000,DEC,10000
SP1143,OCT,5000,NOV,5000,DEC,5000
SP1145,OCT,8000,NOV,8000,DEC,8000
SP1153,OCT,79008,NOV,79008,DEC,79008
SP1162,OCT,10000,NOV,10000,DEC,10000
SP1167,OCT,10000,NOV,10000,DEC,10000
SP1170,OCT,10000,NOV,10000,DEC,10000
SP1172,OCT,60401,NOV,60401,DEC,60401
SP1175,OCT,16100,NOV,16100,DEC,16100
SP1176,OCT,5000,NOV,5000,DEC,5000
SP0119,OCT,55034,NOV,55034,DEC,55034
SP1198,OCT,41667,NOV,41667,DEC,41667
SP0120,OCT,97368,NOV,97368,DEC,97368
SP1200,OCT,55204,NOV,55204,DEC,55204
SP1201,OCT,31917,NOV,31917,DEC,31917
SP1204,OCT,5000,NOV,5000,DEC,5000
SP1206,OCT,10000,NOV,10000,DEC,10000
SP0121,OCT,23950,NOV,23950,DEC,23950
SP1221,OCT,29717,NOV,29717,DEC,29717
SP1234,OCT,23784,NOV,23784,DEC,23784
SP1237,OCT,16234,NOV,16234,DEC,16234
SP0124,OCT,43688,NOV,43688,DEC,43688
SP1246,OCT,51701,NOV,51701,DEC,51701
